Period,Data_value
1989-03-31,0.147758976
1989-06-30,1.202579711
1989-09-30,-0.165591987
1989-12-31,0.522102852
1990-03-31,-0.909648564
1990-06-30,-1.496347676
1990-09-30,0.532907117
1990-12-31,1.901976336
1991-03-31,-0.400103347
1991-06-30,-1.060443139
1991-09-30,-1.641660127
1991-12-31,-2.148528702
1992-03-31,0.582439221
1992-06-30,1.279091494
1992-09-30,0.17979353
1992-12-31,0.788456021
1993-03-31,2.136944895
1993-06-30,4.385082572
1993-09-30,7.328244341
1993-12-31,6.988742674
1994-03-31,6.866608106
1994-06-30,5.248582908
1994-09-30,4.91796211
1994-12-31,5.320524045
1995-03-31,4.989849354
1995-06-30,5.632529331
1995-09-30,4.820237452
1995-12-31,4.148924977
1996-03-31,4.358446738
1996-06-30,3.948682264
1996-09-30,3.667174566
1996-12-31,4.313815769
1997-03-31,2.481510431
1997-06-30,3.57289383
1997-09-30,2.667863536
1997-12-31,1.171246724
1998-03-31,1.010879407
1998-06-30,-0.399534049
1998-09-30,-0.082192942
1998-12-31,1.084732679
1999-03-31,2.808219354
1999-06-30,3.0778624
1999-09-30,5.855144142
1999-12-31,6.092452448
2000-03-31,6.395607477
2000-06-30,5.585438195
2000-09-30,3.124045811
2000-12-31,2.068060576
2001-03-31,0.944904701
2001-06-30,2.338355749
2001-09-30,2.698665753
2001-12-31,4.027365408
2002-03-31,4.565140282
2002-06-30,4.475895867
2002-09-30,4.936639855
2002-12-31,4.854206375
2003-03-31,4.604752323
2003-06-30,3.737819734
2003-09-30,4.725015697
2003-12-31,4.633120324
2004-03-31,5.771380374
2004-06-30,6.190945161
2004-09-30,4.266261702
2004-12-31,3.304100817
2005-03-31,2.74386472
2005-06-30,3.489401108
2005-09-30,3.70770711
2005-12-31,2.899058057
2006-03-31,3.345192377
2006-06-30,2.127816563
2006-09-30,2.222923791
2006-12-31,3.490734145
2007-03-31,3.215981274
2007-06-30,3.6807528
2007-09-30,3.876260022
2007-12-31,3.226959918
2008-03-31,1.441945574
2008-06-30,0.359943314
2008-09-30,-0.76149238
2008-12-31,-1.59142794
2009-03-31,-2.038261121
2009-06-30,-1.895669354
2009-09-30,-1.101018387
2009-12-31,0.804941672
2010-03-31,2.018106884
2010-06-30,2.785541355
2010-09-30,2.044998581
2010-12-31,0.186015008
2011-03-31,0.911213585
2011-06-30,0.592523242
2011-09-30,1.92391178
2011-12-31,3.110044281
2012-03-31,2.671355076
2012-06-30,2.872540254
2012-09-30,1.941069924
2012-12-31,2.785759861
2013-03-31,1.852399591
2013-06-30,2.366210594
2013-09-30,2.775564654
2013-12-31,1.706952353
2014-03-31,3.582723972
2014-06-30,2.929776272
2014-09-30,3.709824867
2014-12-31,4.928363407
2015-03-31,3.68194453
2015-06-30,4.020820689
2015-09-30,3.651990278
2015-12-31,3.113468028
2016-03-31,4.044817598
2016-06-30,4.174000455
2016-09-30,4.227562648
2016-12-31,3.447808195
2017-03-31,3.349525472
2017-06-30,3.267059789
2017-09-30,3.013321375
2017-12-31,3.702792771
2018-03-31,3.546053545
2018-06-30,3.69414087
2018-09-30,3.03411647
2018-12-31,3.625917902
2019-03-31,3.541083653
2019-06-30,2.592527073
2019-09-30,3.252587661
2019-12-31,2.73035193
2020-03-31,0.691025746
2020-06-30,-9.796189805
2020-09-30,2.101385459
2020-12-31,1.486640069
2021-03-31,4.745439868
2021-06-30,17.91040963
2021-09-30,-1.005673826
2021-12-31,2.60892223
2022-03-31,0.512622307
2022-06-30,0.729981226
2022-09-30,7.259747876
2022-12-31,3.085490468
2023-03-31,3.012775431
2023-06-30,2.672395992
2023-09-30,0.731190197
2023-12-31,0.924106803
2024-03-31,1.362410311
2024-06-30,-0.484753708
2024-09-30,-1.573740477
2024-12-31,-1.129959601
