Period,Data_value
1989-03-31,1.27365476
1989-06-30,0.579333593
1989-09-30,-1.124415749
1989-12-31,-0.191560481
1990-03-31,-0.168801124
1990-06-30,-0.016181558
1990-09-30,0.912501142
1990-12-31,1.167642851
1991-03-31,-2.424099626
1991-06-30,-0.679066723
1991-09-30,0.319694161
1991-12-31,0.646297137
1992-03-31,0.2991773
1992-06-30,0.00884813
1992-09-30,-0.769190364
1992-12-31,1.257793965
1993-03-31,1.641119919
1993-06-30,2.21014424
1993-09-30,2.028645476
1993-12-31,0.937494401
1994-03-31,1.525090008
1994-06-30,0.662620726
1994-09-30,1.708139573
1994-12-31,1.324783596
1995-03-31,1.206331835
1995-06-30,1.278812208
1995-09-30,0.926025423
1995-12-31,0.675857463
1996-03-31,1.40993383
1996-06-30,0.881139949
1996-09-30,0.652703507
1996-12-31,1.303839829
1997-03-31,-0.371363898
1997-06-30,1.9554801
1997-09-30,-0.226809872
1997-12-31,-0.172893247
1998-03-31,-0.529286011
1998-06-30,0.531877199
1998-09-30,0.091081559
1998-12-31,0.992973098
1999-03-31,1.166681773
1999-06-30,0.795549907
1999-09-30,2.787888873
1999-12-31,1.219381287
2000-03-31,1.455761606
2000-06-30,0.028023312
2000-09-30,0.391712552
2000-12-31,0.182899725
2001-03-31,0.339343462
2001-06-30,1.40881766
2001-09-30,0.745168869
2001-12-31,1.479050783
2002-03-31,0.858052915
2002-06-30,1.322267109
2002-09-30,1.189460162
2002-12-31,1.399333429
2003-03-31,0.618105937
2003-06-30,0.482538766
2003-09-30,2.152405275
2003-12-31,1.310356316
2004-03-31,1.71268832
2004-06-30,0.881124233
2004-09-30,0.300919309
2004-12-31,0.375472294
2005-03-31,1.16108273
2005-06-30,1.613144087
2005-09-30,0.512499359
2005-12-31,-0.407194037
2006-03-31,1.599681797
2006-06-30,0.416171291
2006-09-30,0.606102312
2006-12-31,0.827996524
2007-03-31,1.329949395
2007-06-30,0.868335545
2007-09-30,0.795811771
2007-12-31,0.197750223
2008-03-31,-0.42226159
2008-06-30,-0.207548464
2008-09-30,-0.330494376
2008-12-31,-0.640207521
2009-03-31,-0.874403477
2009-06-30,-0.062291937
2009-09-30,0.476834601
2009-12-31,1.274633187
2010-03-31,0.318551186
2010-06-30,0.689492668
2010-09-30,-0.247074549
2010-12-31,-0.570316414
2011-03-31,1.044709129
2011-06-30,0.371502547
2011-09-30,1.073201525
2011-12-31,0.586789678
2012-03-31,0.614807044
2012-06-30,0.568181149
2012-09-30,0.158023498
2012-12-31,1.420257967
2013-03-31,-0.29883959
2013-06-30,1.075513704
2013-09-30,0.558547199
2013-12-31,0.365737512
2014-03-31,1.539939399
2014-06-30,0.438370542
2014-09-30,1.320625543
2014-12-31,1.544984698
2015-03-31,0.333770799
2015-06-30,0.766645339
2015-09-30,0.961369313
2015-12-31,1.017409361
2016-03-31,1.24001337
2016-06-30,0.891757991
2016-09-30,1.013279696
2016-12-31,0.261670929
2017-03-31,1.143828208
2017-06-30,0.811253434
2017-09-30,0.765079066
2017-12-31,0.932725442
2018-03-31,0.99095667
2018-06-30,0.95542956
2018-09-30,0.123698461
2018-12-31,1.512457025
2019-03-31,0.908279555
2019-06-30,0.030560574
2019-09-30,0.76787508
2019-12-31,0.999022608
2020-03-31,-1.094876209
2020-06-30,-10.38786592
2020-09-30,14.05881451
2020-12-31,0.390914468
2021-03-31,2.081029481
2021-06-30,0.875068645
2021-09-30,-4.239366799
2021-12-31,4.05650438
2022-03-31,-0.004485595
2022-06-30,1.093211356
2022-09-30,1.968264549
2022-12-31,0.006908489
2023-03-31,-0.075021007
2023-06-30,0.759174626
2023-09-30,0.040371621
2023-12-31,0.198437978
2024-03-31,0.358943387
2024-06-30,-1.076996409
2024-09-30,-1.054361549
2024-12-31,0.65020919
