Period,Data_value
1989-03-31,-0.927176517
1989-06-30,0.938655184
1989-09-30,0.303752974
1989-12-31,0.834052435
1990-03-31,-1.818706525
1990-06-30,-4.383350282
1990-09-30,-4.211082261
1990-12-31,-3.937021922
1991-03-31,-6.090044363
1991-06-30,-8.277934952
1991-09-30,-5.440085337
1991-12-31,-4.003659113
1992-03-31,1.311476271
1992-06-30,4.493957022
1992-09-30,0.458458593
1992-12-31,2.04839004
1993-03-31,3.083553319
1993-06-30,5.358553304
1993-09-30,11.46621415
1993-12-31,6.129168365
1994-03-31,5.013693825
1994-06-30,5.086524218
1994-09-30,6.171324745
1994-12-31,8.870859525
1995-03-31,8.445913617
1995-06-30,6.449365086
1995-09-30,0.9687374
1995-12-31,1.60222484
1996-03-31,1.633065535
1996-06-30,2.055749251
1996-09-30,2.695357962
1996-12-31,2.470089751
1997-03-31,0.433085763
1997-06-30,1.536013604
1997-09-30,2.031894666
1997-12-31,0.182850829
1998-03-31,1.344162276
1998-06-30,-1.091002943
1998-09-30,-2.502679803
1998-12-31,-2.806721029
1999-03-31,-1.35850823
1999-06-30,-1.091268209
1999-09-30,4.22586816
1999-12-31,8.156642169
2000-03-31,9.733765902
2000-06-30,6.18211636
2000-09-30,3.013497202
2000-12-31,0.140344383
2001-03-31,-4.716627795
2001-06-30,1.914680547
2001-09-30,-0.293908788
2001-12-31,1.226779483
2002-03-31,2.655555423
2002-06-30,3.26317879
2002-09-30,9.776335797
2002-12-31,8.336738565
2003-03-31,10.00507618
2003-06-30,5.068546728
2003-09-30,2.927253515
2003-12-31,3.439843563
2004-03-31,5.344879864
2004-06-30,7.13374948
2004-09-30,5.029045636
2004-12-31,3.970391657
2005-03-31,0.673961077
2005-06-30,1.816632789
2005-09-30,0.983062812
2005-12-31,0.189730836
2006-03-31,2.508555639
2006-06-30,0.001848156
2006-09-30,-2.01985119
2006-12-31,1.94665809
2007-03-31,0.519528402
2007-06-30,2.337315054
2007-09-30,4.590739864
2007-12-31,2.050326863
2008-03-31,-0.367817254
2008-06-30,-3.026367295
2008-09-30,-3.559377162
2008-12-31,-8.786243626
2009-03-31,-7.833965104
2009-06-30,-6.094620502
2009-09-30,-5.776592887
2009-12-31,2.634604494
2010-03-31,3.818520806
2010-06-30,3.972360872
2010-09-30,2.003561118
2010-12-31,0.378450126
2011-03-31,-1.078559414
2011-06-30,-2.076629406
2011-09-30,0.664291197
2011-12-31,-2.910104789
2012-03-31,-0.136327836
2012-06-30,1.738727138
2012-09-30,1.694007016
2012-12-31,5.350637319
2013-03-31,3.598717136
2013-06-30,1.242922581
2013-09-30,0.598474422
2013-12-31,0.126647605
2014-03-31,2.228062112
2014-06-30,4.066378454
2014-09-30,5.584628242
2014-12-31,4.444873546
2015-03-31,3.32749713
2015-06-30,3.727824832
2015-09-30,3.303026581
2015-12-31,4.670039172
2016-03-31,4.928092457
2016-06-30,4.502663016
2016-09-30,4.97791139
2016-12-31,3.20534233
2017-03-31,2.391908808
2017-06-30,3.17282859
2017-09-30,3.739642174
2017-12-31,4.200780509
2018-03-31,3.93907269
2018-06-30,4.033850563
2018-09-30,1.084843214
2018-12-31,2.192322287
2019-03-31,4.929493993
2019-06-30,2.771815752
2019-09-30,4.42070134
2019-12-31,3.672937273
2020-03-31,-1.463514155
2020-06-30,-15.68078355
2020-09-30,6.169639496
2020-12-31,2.026064454
2021-03-31,6.386673097
2021-06-30,23.61666302
2021-09-30,-11.01467588
2021-12-31,-2.015885942
2022-03-31,-4.383185539
2022-06-30,-5.442506045
2022-09-30,6.820524389
2022-12-31,-0.466967667
2023-03-31,-0.723425353
2023-06-30,2.159874143
2023-09-30,-2.45834843
2023-12-31,-1.53916921
2024-03-31,-2.68254243
2024-06-30,-3.922353742
2024-09-30,-4.8150327
2024-12-31,-5.600345787
