Period,Data_value
1989-03-31,-7.560144711
1989-06-30,-14.01857596
1989-09-30,-9.29083355
1989-12-31,-2.497523884
1990-03-31,-4.922293744
1990-06-30,10.69472045
1990-09-30,15.57964502
1990-12-31,25.05627983
1991-03-31,16.52555372
1991-06-30,12.47477713
1991-09-30,5.008212924
1991-12-31,-4.987205338
1992-03-31,-2.125599394
1992-06-30,-8.5975151
1992-09-30,-13.93843696
1992-12-31,-11.14070567
1993-03-31,-6.448180616
1993-06-30,4.142868831
1993-09-30,15.79324923
1993-12-31,21.00484313
1994-03-31,15.69844925
1994-06-30,2.184345734
1994-09-30,0.684465532
1994-12-31,-2.347169906
1995-03-31,-4.103275852
1995-06-30,5.619354891
1995-09-30,4.748834799
1995-12-31,5.024131784
1996-03-31,9.714119478
1996-06-30,6.290800925
1996-09-30,9.920375939
1996-12-31,13.6970662
1997-03-31,13.18319661
1997-06-30,12.98417498
1997-09-30,2.791524613
1997-12-31,-2.111254203
1998-03-31,-9.804743575
1998-06-30,-7.361406145
1998-09-30,-6.150266127
1998-12-31,-3.052285571
1999-03-31,1.984745138
1999-06-30,-3.100481113
1999-09-30,6.052515674
1999-12-31,3.219467035
2000-03-31,6.217703744
2000-06-30,5.433506338
2000-09-30,3.145060193
2000-12-31,4.290881477
2001-03-31,0.359379032
2001-06-30,2.447816075
2001-09-30,-2.258762943
2001-12-31,-4.745324578
2002-03-31,-3.04647087
2002-06-30,-1.283242141
2002-09-30,-3.026208428
2002-12-31,1.100910752
2003-03-31,1.343172565
2003-06-30,1.631140845
2003-09-30,10.08377029
2003-12-31,7.344843626
2004-03-31,8.523676381
2004-06-30,5.681627217
2004-09-30,-5.375194694
2004-12-31,-4.668365445
2005-03-31,-3.770130002
2005-06-30,-0.940775204
2005-09-30,5.955081848
2005-12-31,6.049022201
2006-03-31,7.003922402
2006-06-30,3.954944921
2006-09-30,1.887528184
2006-12-31,1.130115876
2007-03-31,-5.597271325
2007-06-30,-5.677209846
2007-09-30,1.803125542
2007-12-31,7.684011752
2008-03-31,8.634597531
2008-06-30,9.648961182
2008-09-30,5.858142269
2008-12-31,0.595387697
2009-03-31,4.60053469
2009-06-30,5.580995849
2009-09-30,6.902033929
2009-12-31,2.805194904
2010-03-31,0.763850818
2010-06-30,-5.279788484
2010-09-30,-12.00362918
2010-12-31,-9.425806312
2011-03-31,-7.205718867
2011-06-30,2.22584433
2011-09-30,5.941523528
2011-12-31,7.938119812
2012-03-31,9.338683784
2012-06-30,8.251445269
2012-09-30,4.467564542
2012-12-31,3.130842165
2013-03-31,-2.31585933
2013-06-30,-7.37054274
2013-09-30,-0.747550554
2013-12-31,-0.04849448
2014-03-31,7.628015769
2014-06-30,8.144696167
2014-09-30,6.463640663
2014-12-31,7.135801097
2015-03-31,-0.190284632
2015-06-30,3.259266956
2015-09-30,0.201824063
2015-12-31,-1.30543876
2016-03-31,1.232254466
2016-06-30,-0.226489364
2016-09-30,-0.882689303
2016-12-31,-1.6808297
2017-03-31,-0.612559572
2017-06-30,-4.999585063
2017-09-30,-4.640069234
2017-12-31,-2.28348641
2018-03-31,-3.270964601
2018-06-30,2.745077728
2018-09-30,5.963611405
2018-12-31,5.36582521
2019-03-31,4.304503287
2019-06-30,0.549224693
2019-09-30,-1.827274674
2019-12-31,-3.128870063
2020-03-31,-3.164941657
2020-06-30,-6.975034147
2020-09-30,2.927878806
2020-12-31,2.264482722
2021-03-31,2.931029464
2021-06-30,8.437153775
2021-09-30,-7.06944171
2021-12-31,-5.126565501
2022-03-31,-4.626809851
2022-06-30,-3.768154788
2022-09-30,3.427429191
2022-12-31,3.850718877
2023-03-31,5.050976158
2023-06-30,7.541234239
2023-09-30,7.437419488
2023-12-31,6.574275521
2024-03-31,5.737980316
2024-06-30,2.760293878
2024-09-30,0.523958598
2024-12-31,1.427142237
