Period,Data_value
1989-03-31,1.357111007
1989-06-30,1.976335517
1989-09-30,0.318803535
1989-12-31,-0.019084311
1990-03-31,-0.469874008
1990-06-30,-1.199905381
1990-09-30,0.785540911
1990-12-31,0.837378702
1991-03-31,-0.027478164
1991-06-30,0.12172337
1991-09-30,-0.71435023
1991-12-31,0.135087652
1992-03-31,0.644545346
1992-06-30,1.212936769
1992-09-30,1.648285542
1992-12-31,1.800204787
1993-03-31,3.012198466
1993-06-30,4.148769039
1993-09-30,4.934531274
1993-12-31,4.928195866
1994-03-31,6.257096033
1994-06-30,4.947217013
1994-09-30,4.388737296
1994-12-31,5.012178805
1995-03-31,4.709460987
1995-06-30,5.422086808
1995-09-30,6.589975135
1995-12-31,5.321712469
1996-03-31,4.619668169
1996-06-30,3.990557486
1996-09-30,3.014639753
1996-12-31,3.53816064
1997-03-31,1.998108909
1997-06-30,3.325601654
1997-09-30,3.13261157
1997-12-31,2.240013268
1998-03-31,2.251908747
1998-06-30,0.750502899
1998-09-30,1.189868617
1998-12-31,2.955224799
1999-03-31,4.190901501
1999-06-30,4.722723461
1999-09-30,6.408054767
1999-12-31,5.662489479
2000-03-31,5.336396975
2000-06-30,5.713884617
2000-09-30,3.353160762
2000-12-31,2.729387183
2001-03-31,3.238741945
2001-06-30,3.452198632
2001-09-30,4.840282725
2001-12-31,5.727800338
2002-03-31,5.934121595
2002-06-30,5.851113027
2002-09-30,4.179067428
2002-12-31,3.00515876
2003-03-31,2.621282493
2003-06-30,2.383849073
2003-09-30,4.187163721
2003-12-31,5.38235419
2004-03-31,5.729321597
2004-06-30,5.554023695
2004-09-30,4.637159265
2004-12-31,4.505438177
2005-03-31,4.053439169
2005-06-30,4.732457343
2005-09-30,4.606280153
2005-12-31,3.279665047
2006-03-31,3.137471347
2006-06-30,2.354108499
2006-09-30,3.421549756
2006-12-31,4.493923706
2007-03-31,5.289523116
2007-06-30,4.906071123
2007-09-30,3.767061791
2007-12-31,3.156896646
2008-03-31,1.534839984
2008-06-30,1.046590247
2008-09-30,-0.136804853
2008-12-31,-0.439271231
2009-03-31,-1.325782831
2009-06-30,-0.828804783
2009-09-30,-0.44445184
2009-12-31,-0.001491198
2010-03-31,1.820781169
2010-06-30,2.11349487
2010-09-30,3.575033339
2010-12-31,2.42445071
2011-03-31,2.607949061
2011-06-30,2.71047821
2011-09-30,2.09514447
2011-12-31,3.12869967
2012-03-31,2.44079221
2012-06-30,2.0961705
2012-09-30,1.689119911
2012-12-31,2.201225253
2013-03-31,1.884746229
2013-06-30,2.969598419
2013-09-30,3.546033273
2013-12-31,2.917007108
2014-03-31,3.474881725
2014-06-30,3.171793574
2014-09-30,2.895767654
2014-12-31,3.87106562
2015-03-31,3.851468111
2015-06-30,3.231624097
2015-09-30,3.894976483
2015-12-31,3.506862759
2016-03-31,4.130636578
2016-06-30,4.277683754
2016-09-30,4.233528149
2016-12-31,4.014868343
2017-03-31,3.723360942
2017-06-30,4.000808611
2017-09-30,3.587482671
2017-12-31,4.071572057
2018-03-31,3.950219261
2018-06-30,4.098465559
2018-09-30,3.587513102
2018-12-31,3.02131017
2019-03-31,2.913678441
2019-06-30,2.728632099
2019-09-30,3.422767781
2019-12-31,3.221137611
2020-03-31,1.77205655
2020-06-30,-7.581096133
2020-09-30,1.164396004
2020-12-31,1.60282024
2021-03-31,4.072331854
2021-06-30,16.45414838
2021-09-30,2.523002513
2021-12-31,4.545026058
2022-03-31,3.102948674
2022-06-30,2.430136095
2022-09-30,7.33668965
2022-12-31,3.861458281
2023-03-31,3.336369031
2023-06-30,2.551868089
2023-09-30,1.323934753
2023-12-31,1.485347343
2024-03-31,2.112760658
2024-06-30,0.50201249
2024-09-30,-0.770837949
2024-12-31,0.238776363
