Sector,Period,Model,p_vs_Persistence,p_vs_AutoARIMA
National_GDP,1999Q3–2024Q4,timegpt,0.420937506,0.519765888
National_GDP,1999Q3–2024Q4,chronos_small,0.231189625,0.071576911
National_GDP,1999Q3–2024Q4,chronos_base,0.189798489,0.088497424
National_GDP,1999Q3–2024Q4,chronos_large,0.1116812,0.928236702
National_GDP,1999Q3–2024Q4,moirai_small,0.048179262,0.017061525
National_GDP,1999Q3–2024Q4,moirai_base,0.037197822,0.01091191
National_GDP,1999Q3–2024Q4,moirai_large,0.061394009,0.021896993
National_GDP,PreCOVID,timegpt,0.897243791,0.598966107
National_GDP,PreCOVID,chronos_small,0.473333497,0.67873603
National_GDP,PreCOVID,chronos_base,0.136673029,0.218155017
National_GDP,PreCOVID,chronos_large,0.08218519,0.466834315
National_GDP,PreCOVID,moirai_small,0.033175842,0.153909018
National_GDP,PreCOVID,moirai_base,0.0450022,0.103026521
National_GDP,PreCOVID,moirai_large,0.015588474,0.012104566
National_GDP,COVID,timegpt,0.273930037,0.455602997
National_GDP,COVID,chronos_small,0.251732174,0.075694999
National_GDP,COVID,chronos_base,0.200175412,0.10139375
National_GDP,COVID,chronos_large,0.25025558,0.889232649
National_GDP,COVID,moirai_small,0.08665222,0.0440441
National_GDP,COVID,moirai_base,0.054788955,0.017407692
National_GDP,COVID,moirai_large,0.10379328,0.051924039
National_GDP,PostCOVID,timegpt,0.234665873,0.843989947
National_GDP,PostCOVID,chronos_small,0.359951943,0.484177224
National_GDP,PostCOVID,chronos_base,0.332037865,0.460736228
National_GDP,PostCOVID,chronos_large,0.298341684,0.452717874
National_GDP,PostCOVID,moirai_small,0.126463839,0.187327155
National_GDP,PostCOVID,moirai_base,0.083691199,0.244037644
National_GDP,PostCOVID,moirai_large,0.097215298,0.22524255
Primary_Industries,1999Q3–2024Q4,timegpt,0.275031076,0.000140832
Primary_Industries,1999Q3–2024Q4,chronos_small,0.004514759,0.054083444
Primary_Industries,1999Q3–2024Q4,chronos_base,0.01226051,0.056913892
Primary_Industries,1999Q3–2024Q4,chronos_large,0.020433412,0.066660035
Primary_Industries,1999Q3–2024Q4,moirai_small,6.12E-06,1.45E-06
Primary_Industries,1999Q3–2024Q4,moirai_base,7.65E-06,3.48E-06
Primary_Industries,1999Q3–2024Q4,moirai_large,2.21E-06,3.54E-07
Primary_Industries,PreCOVID,timegpt,0.685904646,0.087666767
Primary_Industries,PreCOVID,chronos_small,0.326583571,0.319554052
Primary_Industries,PreCOVID,chronos_base,0.454546441,0.273524712
Primary_Industries,PreCOVID,chronos_large,0.594157292,0.209107133
Primary_Industries,PreCOVID,moirai_small,0.029926802,0.076372949
Primary_Industries,PreCOVID,moirai_base,0.031043539,0.03639501
Primary_Industries,PreCOVID,moirai_large,0.017350069,0.06914256
Primary_Industries,COVID,timegpt,0.118835926,0.613751595
Primary_Industries,COVID,chronos_small,0.277438455,0.559159725
Primary_Industries,COVID,chronos_base,0.388832614,0.630076273
Primary_Industries,COVID,chronos_large,0.298247204,0.686934768
Primary_Industries,COVID,moirai_small,0.14406111,0.035328451
Primary_Industries,COVID,moirai_base,0.141603725,0.031477541
Primary_Industries,COVID,moirai_large,0.13450563,0.028138789
Primary_Industries,PostCOVID,timegpt,0.102157297,0.156060946
Primary_Industries,PostCOVID,chronos_small,0.295861695,0.86631407
Primary_Industries,PostCOVID,chronos_base,0.472301615,0.656287919
Primary_Industries,PostCOVID,chronos_large,0.979204985,0.414217508
Primary_Industries,PostCOVID,moirai_small,0.237504407,0.299765527
Primary_Industries,PostCOVID,moirai_base,0.210681084,0.165072106
Primary_Industries,PostCOVID,moirai_large,0.169490194,0.044690548
Goods_Producing,1999Q3–2024Q4,timegpt,0.316839134,0.534135334
Goods_Producing,1999Q3–2024Q4,chronos_small,0.173655861,0.389636816
Goods_Producing,1999Q3–2024Q4,chronos_base,0.184078534,0.395678518
