ds,actual,moirai_large,moirai_base
1/7/1999,2.787888873,1.5511929,1.4752312
1/10/1999,1.219381287,1.019295,1.0806823
1/1/2000,1.455761606,1.4681076,1.3620827
1/4/2000,0.028023312,0.7411406,0.86213547
1/7/2000,0.391712552,0.38683885,0.60107684
1/10/2000,0.182899725,0.2509978,0.30170175
1/1/2001,0.339343462,0.25142184,0.5287237
1/4/2001,1.40881766,0.8970546,1.0053686
1/7/2001,0.745168869,0.64062804,0.8564974
1/10/2001,1.479050783,1.1151627,1.4191688
1/1/2002,0.858052915,1.1522044,0.8632204
1/4/2002,1.322267109,1.3067044,1.2425525
1/7/2002,1.189460162,1.0809873,0.98268014
1/10/2002,1.399333429,1.2612647,1.3786874
1/1/2003,0.618105937,0.7476426,0.7216971
1/4/2003,0.482538766,0.59059143,0.6133727
1/7/2003,2.152405275,0.93796796,0.8549035
1/10/2003,1.310356316,1.0309645,1.4218539
1/1/2004,1.71268832,1.5304923,1.6008039
1/4/2004,0.881124233,0.71242833,0.8469222
1/7/2004,0.300919309,0.56220603,0.58197427
1/10/2004,0.375472294,0.5644433,0.73195267
1/1/2005,1.16108273,0.97026575,0.9880816
1/4/2005,1.613144087,1.2500592,1.1882957
1/7/2005,0.512499359,0.63996655,0.5744581
1/10/2005,-0.407194037,0.002506316,-0.15335852
1/1/2006,1.599681797,1.2558671,0.6435618
1/4/2006,0.416171291,0.76081145,0.5982757
1/7/2006,0.606102312,0.77891517,0.64892715
1/10/2006,0.827996524,0.61794573,0.7565873
1/1/2007,1.329949395,0.89175534,0.87362194
1/4/2007,0.868335545,0.8475432,0.83226836
1/7/2007,0.795811771,0.92080694,0.90303624
1/10/2007,0.197750223,0.548496,0.643097
1/1/2008,-0.42226159,0.5985154,-0.10305816
1/4/2008,-0.207548464,0.0817889,-0.07717961
1/7/2008,-0.330494376,-0.15706474,-0.3004868
1/10/2008,-0.640207521,-0.38827896,-0.34032035
1/1/2009,-0.874403477,-0.6705279,-0.734945
1/4/2009,-0.062291937,0.17631716,0.006727397
1/7/2009,0.476834601,0.4147946,0.7975756
1/10/2009,1.274633187,0.9671209,1.0876491
1/1/2010,0.318551186,0.53412783,0.41508096
1/4/2010,0.689492668,0.77835816,0.7661958
1/7/2010,-0.247074549,0.14239943,0.01507318
1/10/2010,-0.570316414,-0.2680813,-0.32451266
1/1/2011,1.044709129,0.56032395,0.70037615
1/4/2011,0.371502547,0.39015347,0.36551347
1/7/2011,1.073201525,0.5893265,0.8400021
1/10/2011,0.586789678,0.73887783,0.5976663
1/1/2012,0.614807044,0.63396895,0.7746928
1/4/2012,0.568181149,0.62868124,0.90863156
1/7/2012,0.158023498,0.46215022,0.53919214
1/10/2012,1.420257967,0.69557565,1.0040946
1/1/2013,-0.29883959,0.52889353,0.22439343
1/4/2013,1.075513704,0.73976696,0.8610583
1/7/2013,0.558547199,0.7489549,0.70886946
1/10/2013,0.365737512,0.47059992,0.4221279
1/1/2014,1.539939399,0.7973684,0.9496806
1/4/2014,0.438370542,0.5397958,0.19267976
1/7/2014,1.320625543,0.8940562,0.6609773
1/10/2014,1.544984698,0.92900443,1.2262504
1/1/2015,0.333770799,0.623775,0.5733796
1/4/2015,0.766645339,0.7717627,0.9706522
1/7/2015,0.961369313,0.9687821,0.9694631
1/10/2015,1.017409361,0.83636355,1.1074084
1/1/2016,1.24001337,1.2038946,1.2901225
1/4/2016,0.891757991,1.0506648,0.87694377
1/7/2016,1.013279696,0.9766629,1.0898306
1/10/2016,0.261670929,0.6490205,0.53907526
1/1/2017,1.143828208,0.8305083,0.89005387
1/4/2017,0.811253434,0.8956829,0.91034985
1/7/2017,0.765079066,0.81286967,0.8408301
1/10/2017,0.932725442,0.8835459,0.873742
1/1/2018,0.99095667,0.9525288,1.0028768
1/4/2018,0.95542956,0.9749886,1.0337873
1/7/2018,0.123698461,0.58523136,0.57003766
1/10/2018,1.512457025,0.8915921,1.0203123
1/1/2019,0.908279555,1.0903631,1.0373664
1/4/2019,0.030560574,0.45224443,0.6943464
1/7/2019,0.76787508,0.7882264,0.7534788
1/10/2019,0.999022608,1.1867447,1.0128539
1/1/2020,-1.094876209,0.24846375,0.4222731
1/4/2020,-10.38786592,-2.1780858,-6.9163394
1/7/2020,14.05881451,7.3507223,-0.1351217
1/10/2020,0.390914468,0.6035453,0.89019156
1/1/2021,2.081029481,1.679992,1.1473982
1/4/2021,0.875068645,1.0006082,1.0138953
1/7/2021,-4.239366799,0.39810413,-2.428363
1/10/2021,4.05650438,0.8783935,1.822427
1/1/2022,-0.004485595,0.09321296,0.39026546
1/4/2022,1.093211356,0.66910684,0.8325673
1/7/2022,1.968264549,1.3547301,1.4127295
1/10/2022,0.006908489,0.38896024,0.7245754
1/1/2023,-0.075021007,0.24700022,0.29789212
1/4/2023,0.759174626,0.6362323,1.076234
1/7/2023,0.040371621,0.4769151,0.091747105
1/10/2023,0.198437978,-0.011015058,0.25200063
1/1/2024,0.358943387,0.41342387,0.28445
1/4/2024,-1.076996409,0.2123205,-0.4779489
1/7/2024,-1.054361549,-0.7486524,-0.40608197
