ds,actual,moirai_base,moirai_large,lsboost,factor,autoarima
1/01/2009,-0.874403477,-0.734945,-0.6705279,-1.5,-0.29,0.114292535
1/04/2009,-0.062291937,0.006727397,0.17631716,-0.89,0.01,0.403352255
1/07/2009,0.476834601,0.7975756,0.4147946,0.6,0.36,0.602418422
1/10/2009,1.274633187,1.0876491,0.9671209,1.2,1.02,0.90144205
1/01/2010,0.318551186,0.41508096,0.53412783,0.88,1.39,0.548275787
1/04/2010,0.689492668,0.7661958,0.77835816,0.89,0.05,0.682943053
1/07/2010,-0.247074549,0.01507318,0.14239943,-0.28,-0.28,0.337448237
1/10/2010,-0.570316414,-0.32451266,-0.2680813,0,0.79,0.195458594
1/01/2011,1.044709129,0.70037615,0.56032395,0.28,-0.08,0.7972649
1/04/2011,0.371502547,0.36551347,0.39015347,0.47,1.31,0.554591283
1/07/2011,1.073201525,0.8400021,0.5893265,0.5,0.69,0.80627431
1/10/2011,0.586789678,0.5976663,0.73887783,0.79,0.78,0.633863308
1/01/2012,0.614807044,0.7746928,0.63396895,0.64,0.6,0.64341935
1/04/2012,0.568181149,0.90863156,0.62868124,0.36,1.25,0.626375323
1/07/2012,0.158023498,0.53919214,0.46215022,0.55,0.78,0.47825529
1/10/2012,1.420257967,1.0040946,0.69557565,0.59,0.96,0.923094921
1/01/2013,-0.29883959,0.22439343,0.52889353,0.7,0.89,0.517827498
1/04/2013,1.075513704,0.8610583,0.73976696,0.81,0.59,0.598683575
1/07/2013,0.558547199,0.70886946,0.7489549,0.83,0.47,0.704231228
1/10/2013,0.365737512,0.4221279,0.47059992,0.86,1.14,0.560339529
1/01/2014,1.539939399,0.9496806,0.7973684,0.71,1.37,0.838332832
1/04/2014,0.438370542,0.19267976,0.5397958,0.75,0.84,0.759823787
1/07/2014,1.320625543,0.6609773,0.8940562,0.63,0.88,0.786215222
1/10/2014,1.544984698,1.2262504,0.92900443,0.69,0.63,1.016250678
1/01/2015,0.333770799,0.5733796,0.623775,0.52,0.8,0.741063427
1/04/2015,0.766645339,0.9706522,0.7717627,0.55,1.12,0.63521283
1/07/2015,0.961369313,0.9694631,0.9687821,0.77,0.78,0.762538949
1/10/2015,1.017409361,1.1074084,0.83636355,0.7,0.37,0.813059358
1/01/2016,1.24001337,1.2901225,1.2038946,0.78,1.02,0.883505379
1/04/2016,0.891757991,0.87694377,1.0506648,0.82,0.02,0.835481402
1/07/2016,1.013279696,1.0898306,0.9766629,0.68,1.02,0.806699102
1/10/2016,0.261670929,0.53907526,0.6490205,0.69,0.89,0.635675389
1/01/2017,1.143828208,0.89005387,0.8305083,1.09,0.43,0.723283606
1/04/2017,0.811253434,0.91034985,0.8956829,0.96,0.21,0.801261152
1/07/2017,0.765079066,0.8408301,0.81286967,0.95,0.1,0.730045112
1/10/2017,0.932725442,0.873742,0.8835459,0.96,0.34,0.764651334
1/01/2018,0.99095667,1.0028768,0.9525288,0.92,0.55,0.811145241
1/04/2018,0.95542956,1.0337873,0.9749886,0.65,0.48,0.814308345
1/07/2018,0.123698461,0.57003766,0.58523136,1,0.26,0.597573666
1/10/2018,1.512457025,1.0203123,0.8915921,0.48,0.44,0.786194081
1/01/2019,0.908279555,1.0373664,1.0903631,0.78,0.23,0.899007861
