ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/1/2017,3.349525472,3.447808195,3.035187357,4.1626844,3.221568108,3.287091494,3.385375738,3.550006,3.4804044,3.4349802
1/4/2017,3.267059789,3.349525472,3.522121416,3.5177727,3.137652397,3.268843174,3.323506832,3.583671,3.4683228,3.333183
1/7/2017,3.013321375,3.267059789,2.891077144,3.6471038,3.435706854,3.008978605,3.490414619,2.5718052,3.1528835,3.1834488
1/10/2017,3.702792771,3.013321375,3.176310299,3.617305,3.020170689,2.910743237,3.43599081,3.9577923,3.915393,3.701239
1/1/2018,3.546053545,3.702792771,3.530433256,3.5929682,3.465042114,3.815931797,3.48697257,3.8432152,3.6053562,3.5805106
1/4/2018,3.69414087,3.546053545,3.418276524,3.8255749,3.349723816,3.646257401,3.40463686,3.8156877,3.7258065,3.9263334
1/7/2018,3.03411647,3.69414087,3.607440289,3.7527514,3.466382027,3.609439373,3.488390446,2.6705582,3.2769194,3.5343833
1/10/2018,3.625917902,3.03411647,2.754151664,3.2650945,2.949440718,2.861396313,3.004468203,3.7528303,3.8763664,3.8830519
1/1/2019,3.541083653,3.625917902,3.87851649,3.8419535,3.571914673,3.560889721,3.362450123,3.5777996,3.66334,3.5189028
1/4/2019,2.592527073,3.541083653,3.03034196,3.628385,3.356340885,3.577152491,3.389461994,1.9598858,3.0708394,2.846798
1/7/2019,3.252587661,2.592527073,2.738426722,2.9537785,2.591577768,2.558493137,2.878305435,3.323549,3.3946197,3.2487473
1/10/2019,2.73035193,3.252587661,3.207210431,3.021151,3.189192772,3.454039097,3.067804337,3.0207467,3.4455042,2.601873
1/1/2020,0.691025746,2.73035193,2.543091057,2.941899,2.867017269,2.800853968,2.756746054,1.7932429,1.9295326,2.0476475
1/4/2020,-9.796189805,0.691025746,0.549237195,1.0059711,0.460279137,0.41644305,0.931518018,0.27121997,-4.4384365,1.7511343
1/7/2020,2.101385459,-9.796189805,-12.73737533,-8.840708,-7.330186844,-4.317781448,-8.457051277,2.224214,3.3947887,3.0763679
1/10/2020,1.486640069,2.101385459,-9.546265434,1.7400026,2.515347958,2.826983929,2.73794651,1.1789626,2.1969492,1.8196728
1/1/2021,4.745439868,1.486640069,1.797000875,2.2287006,1.563054085,1.585225105,1.784763575,3.615226,3.5384204,3.9683404
1/4/2021,17.91040963,4.745439868,4.124166071,4.45333,4.464892864,4.6207757,4.720985889,9.437502,11.796831,11.813408
1/7/2021,-1.005673826,17.91040963,7.381445045,11.553324,2.784460783,5.014340401,17.65417671,4.572362,1.8821957,1.7967869
1/10/2021,2.60892223,-1.005673826,5.079193166,0.7971115,-0.298836589,-0.563192725,-0.666636944,3.198778,3.8600664,4.100092
1/1/2022,0.512622307,2.60892223,0.888837362,2.9339466,2.502443075,2.777941227,2.881253958,1.5059043,0.8537271,1.4446329
1/4/2022,0.729981226,0.512622307,-9.317384563,1.9527388,0.764263749,0.718636096,1.117877245,1.487417,0.9645256,0.26275063
1/7/2022,7.259747876,0.729981226,9.270347699,1.3166428,0.74855721,0.986733317,1.043441296,7.227709,3.4438987,4.1003876
1/10/2022,3.085490468,7.259747876,5.186096866,5.791832,4.719410896,3.207365513,2.691895962,3.20168,2.8583753,3.677784
1/1/2023,3.012775431,3.085490468,0.451640812,2.7758331,2.726008415,2.840546608,3.000898361,2.6556115,3.572723,2.7542048
1/4/2023,2.672395992,3.012775431,1.7068038,0.28810024,2.94286108,3.126073837,3.206232071,3.5155134,2.8982577,2.6982071
1/7/2023,0.731190197,2.672395992,2.417403695,6.014765,2.356399059,2.779636145,2.596614838,1.7771201,2.053308,1.7956742
1/10/2023,0.924106803,0.731190197,0.465494187,2.058341,0.78493166,0.989696264,0.841811478,1.1803964,1.3068458,1.6937941
1/1/2024,1.362410311,0.924106803,2.59973041,3.211585,0.973412693,1.335614204,1.414844751,1.9897251,1.7108831,1.6743346
1/4/2024,-0.484753708,1.362410311,0.520360243,4.398219,1.397963166,1.533251524,1.521976829,-0.17429471,-0.12058306,-0.076687336
1/7/2024,-1.573740477,-0.484753708,2.157793302,-0.15419579,0.381040007,0.112071618,-0.056035809,-1.7922771,-1.1413608,-1.4231312
