ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/1/2017,2.391908808,3.20534233,2.252710178,4.5478683,3.221568108,3.287091494,3.385375738,1.7691172,2.578072,2.3733487
1/4/2017,3.17282859,2.391908808,2.658257532,3.345962,3.137652397,3.268843174,3.323506832,3.6991754,3.4242573,3.417891
1/7/2017,3.739642174,3.17282859,2.627902616,3.3873453,3.435706854,3.008978605,3.490414619,3.2697787,3.590434,3.806559
1/10/2017,4.200780509,3.739642174,3.673104095,3.340485,3.020170689,2.910743237,3.43599081,4.217168,4.6615796,4.181809
1/1/2018,3.93907269,4.200780509,3.430430912,3.741624,3.465042114,3.815931797,3.48697257,4.0009108,3.8750582,3.9619532
1/4/2018,4.033850563,3.93907269,3.661002091,4.0925784,3.349723816,3.646257401,3.40463686,3.9198508,4.2141566,4.1661267
1/7/2018,1.084843214,4.033850563,3.3993082,4.0354843,3.466382027,3.609439373,3.488390446,1.4893916,1.9832083,1.0350387
1/10/2018,2.192322287,1.084843214,0.658008063,2.5159388,2.949440718,2.861396313,3.004468203,2.886053,2.9629235,2.631135
1/1/2019,4.929493993,2.192322287,2.921230545,2.5937052,3.571914673,3.560889721,3.362450123,4.6074905,4.6718163,4.812335
1/4/2019,2.771815752,4.929493993,4.107068661,4.120486,3.356340885,3.577152491,3.389461994,3.057756,2.676716,2.9726627
1/7/2019,4.42070134,2.771815752,2.178903926,3.1703389,2.591577768,2.558493137,2.878305435,4.117621,4.2095428,4.0420866
1/10/2019,3.672937273,4.42070134,4.644117011,3.4179647,3.189192772,3.454039097,3.067804337,3.597831,3.5492144,4.179562
1/1/2020,-1.463514155,3.672937273,2.326533851,2.906037,2.867017269,2.800853968,2.756746054,1.3352542,1.0774881,0.39907193
1/4/2020,-15.68078355,-1.463514155,-1.079280168,0.7446281,0.460279137,0.41644305,0.931518018,4.264907,-9.327548,-7.2478876
1/7/2020,6.169639496,-15.68078355,-16.2683769,-13.89757,-7.330186844,-4.317781448,-8.457051277,4.5176916,4.8047466,5.6019783
1/10/2020,2.026064454,6.169639496,4.633455943,3.612647,2.515347958,2.826983929,2.73794651,2.0381026,3.1596792,1.7922565
1/1/2021,6.386673097,2.026064454,1.917274197,2.9424067,1.563054085,1.585225105,1.784763575,4.0065193,5.2319813,5.154578
1/4/2021,23.61666302,6.386673097,10.27553194,5.570716,4.464892864,4.6207757,4.720985889,6.429656,16.648254,15.737036
1/7/2021,-11.01467588,23.61666302,3.874153628,13.512435,2.784460783,5.014340401,17.65417671,-1.3982961,-3.087601,1.1144441
1/10/2021,-2.015885942,-11.01467588,10.2460085,-5.04338,-0.298836589,-0.563192725,-0.666636944,0.69347155,-0.036407948,-0.35586452
1/1/2022,-4.383185539,-2.015885942,-2.217453818,0.14697742,2.502443075,2.777941227,2.881253958,2.3560228,-4.2464056,-2.6607027
1/4/2022,-5.442506045,-4.383185539,-16.67753831,-1.8256474,0.764263749,0.718636096,1.117877245,-1.9440007,-4.1909275,-4.5754557
1/7/2022,6.820524389,-5.442506045,6.539010318,-3.002596,0.74855721,0.986733317,1.043441296,5.722903,4.981059,2.6426258
1/10/2022,-0.466967667,6.820524389,2.153808449,4.0765467,4.719410896,3.207365513,2.691895962,3.6388335,-0.62284064,-0.26024365
1/1/2023,-0.723425353,-0.466967667,7.623468367,-1.1327381,2.726008415,2.840546608,3.000898361,-0.4359131,-0.63264966,0.19586444
1/4/2023,2.159874143,-0.723425353,-2.199742243,-4.119073,2.94286108,3.126073837,3.206232071,2.1099339,0.8234571,2.9920726
1/7/2023,-2.45834843,2.159874143,2.560928554,6.4602365,2.356399059,2.779636145,2.596614838,-0.19066882,-1.655633,-1.4122019
1/10/2023,-1.53916921,-2.45834843,2.707448179,-0.32144928,0.78493166,0.989696264,0.841811478,-0.9216807,-1.1993728,-1.3936877
1/1/2024,-2.68254243,-1.53916921,1.514481162,1.410079,0.973412693,1.335614204,1.414844751,-2.009391,-1.932872,-2.4364102
1/4/2024,-3.922353742,-2.68254243,-3.433534826,1.8896418,1.397963166,1.533251524,1.521976829,-2.4654176,-3.6624815,-3.7436507
1/7/2024,-4.8150327,-3.922353742,1.471038662,-4.599044,0.381040007,0.112071618,-0.056035809,-3.5431929,-4.4361763,-4.1558795
