ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/1/2017,-0.612559572,-1.6808297,-1.821253884,0.9399748,-0.763527274,-1.417978048,-1.461607933,0.37377393,-0.408031,-0.40533423
1/4/2017,-4.999585063,-0.612559572,-0.493554976,0.2327466,0.173137546,0.541047454,0.80074954,-4.439548,-4.0936775,-4.473139
1/7/2017,-4.640069234,-4.999585063,-1.822245746,-4.1951876,-2.550308943,-1.858697653,-1.901926041,-3.5423846,-3.5135374,-4.4603276
1/10/2017,-2.28348641,-4.640069234,-4.443195654,-3.8279035,-1.186501503,-2.006265163,-1.294363856,-1.0327871,-1.594048,-1.8592224
1/1/2018,-3.270964601,-2.28348641,-1.620388235,-2.9670486,0,0.06437815,0.386260539,-3.9704332,-3.3673072,-3.176271
1/4/2018,2.745077728,-3.270964601,0.964049292,-1.8070207,-0.876498938,-0.684098482,-0.748231053,0.49928653,1.6466179,0.013096571
1/7/2018,5.963611405,2.745077728,3.551040612,0.5581174,3.894628048,4.682064056,4.745911598,4.8361626,6.393585,5.774757
1/10/2018,5.36582521,5.963611405,6.55269915,3.8725204,5.534612656,6.215797901,5.704910755,4.8047786,4.7894335,4.06195
1/1/2019,4.304503287,5.36582521,5.462102223,5.315611,4.403614998,4.467433929,3.765410423,5.3161855,3.3179612,4.082694
1/4/2019,0.549224693,4.304503287,1.688383281,3.8888206,2.738425493,2.165263414,2.122810125,0.29223406,0.6847857,0.27565145
1/7/2019,-1.827274674,0.549224693,-1.3849039,0.9983864,-0.547837675,-1.791000247,-1.62243557,-1.7397032,-2.3107166,-2.774057
1/10/2019,-3.128870063,-1.827274674,-1.93605555,-1.5230224,-2.304910183,-1.215316176,-1.026733994,-1.7529182,-1.4888277,-2.7465315
1/1/2020,-3.164941657,-3.128870063,-1.358236023,-2.4642584,-1.586672902,-1.482285261,-1.210879922,-0.8042205,-2.8473148,-2.558487
1/4/2020,-6.975034147,-3.164941657,-1.339105616,-2.9875221,-1.414606333,0.249639124,-0.936137915,-7.141512,-5.882364,-5.188285
1/7/2020,2.927878806,-6.975034147,-5.631054565,-5.140813,-4.939286232,-3.397063255,-3.522108555,1.8751571,1.629184,3.963621
1/10/2020,2.264482722,2.927878806,1.1370971,1.6542678,4.775093079,4.941185951,5.480976105,1.5089177,-0.1624695,1.4414657
1/1/2021,2.931029464,2.264482722,8.171875179,0.8995223,2.582990646,3.678182602,4.504736423,0.9317149,5.877912,4.341534
1/4/2021,8.437153775,2.931029464,4.277039045,3.7821193,3.458621979,3.643906593,3.808602571,8.281927,8.118281,7.3318663
1/7/2021,-7.06944171,8.437153775,2.743447671,7.553942,6.902640343,6.447976112,6.468641281,-2.7262306,-3.3516998,-4.145388
1/10/2021,-5.126565501,-7.06944171,-2.151763412,-4.101086,-4.845353127,-5.611502171,-4.555462837,-1.8979276,-4.0922832,-3.3508177
1/1/2022,-4.626809851,-5.126565501,-8.745521587,-3.7450378,-2.23475194,-3.683200598,-3.021052599,-3.005123,-4.1264143,-3.5245862
1/4/2022,-3.768154788,-4.626809851,-2.419797921,-3.4964263,-3.554221869,-4.070824623,-4.40144968,-2.8057828,-3.4155326,-2.7898088
1/7/2022,3.427429191,-3.768154788,2.072885874,-3.8297522,-2.02006793,-2.679684639,-2.638456106,0.51175725,1.2688501,3.040046
1/10/2022,3.850718877,3.427429191,3.725601351,0.39116335,4.603947639,3.576282024,3.124106407,1.4397968,3.2555869,3.9849112
1/1/2023,5.050976158,3.850718877,7.589129856,1.628479,4.019176483,3.260454178,3.034887314,3.752184,2.3768568,4.722841
1/4/2023,7.541234239,5.050976158,3.968388581,1.5743523,5.081881523,4.118784428,3.299126625,6.1154833,7.6819158,8.167829
1/7/2023,7.437419488,7.541234239,6.659951106,6.6533413,5.361798286,5.382342339,4.848217487,6.5943975,6.0642834,6.942415
1/10/2023,6.574275521,7.437419488,5.404110682,7.04125,5.642108917,5.024360657,4.674302101,6.2601385,6.060148,6.249374
1/1/2024,5.737980316,6.574275521,4.443012122,6.037551,5.442807198,4.659373283,3.855321884,5.4531403,5.89935,5.543353
1/4/2024,2.760293878,5.737980316,1.991024132,6.3175297,3.979592562,3.876492977,2.659933567,3.043363,2.8677297,2.2803855
1/7/2024,0.523958598,2.760293878,1.138644675,2.1729727,0.698555708,0.636917353,-0.020547014,1.1946181,-0.15625876,-0.46985203
