ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/1/2017,3.723360942,4.014868343,3.610033026,4.2889686,3.847589016,3.951577187,4.067120075,4.1830554,3.662778,3.7941346
1/4/2017,4.000808611,3.723360942,3.847051174,3.804669,3.576012373,3.981060982,3.876906395,4.2216587,4.098265,3.9382277
1/7/2017,3.587482671,4.000808611,3.75840377,3.9828887,3.990394354,3.827994823,3.990396023,3.6250281,3.8286939,3.6876898
1/10/2017,4.071572057,3.587482671,3.537379043,4.076795,3.658242941,3.55372262,3.553720951,4.1364927,4.265407,3.9871707
1/1/2018,3.950219261,4.071572057,4.069026835,4.152345,3.876791954,3.748730659,3.911717415,4.1458983,3.9248266,4.1419034
1/4/2018,4.098465559,3.950219261,3.698411565,3.8778367,3.791539669,3.733207703,3.733207703,4.277655,4.195832,4.15722
1/7/2018,3.587513102,4.098465559,4.165789651,4.321435,3.870955467,4.011291981,3.917734385,3.7815285,3.6343818,3.8387156
1/10/2018,3.02131017,3.587513102,3.203468301,3.6658247,3.523796558,3.512090445,3.711107731,2.3287346,2.8669965,3.1822963
1/1/2019,2.913678441,3.02131017,3.185357558,3.4208655,3.030739307,3.171161175,3.124352932,3.1278033,2.8563797,2.7070088
1/4/2019,2.728632099,2.913678441,2.730020943,3.0604126,2.923314095,2.899929047,3.005167484,2.8957124,2.8044844,2.5056272
1/7/2019,3.422767781,2.728632099,2.899978035,2.7738886,2.861453056,2.826415539,2.849774361,3.387211,3.1564662,3.2960784
1/10/2019,3.221137611,3.422767781,3.423731376,3.3565836,3.482564211,3.447504044,3.400758266,3.4842908,3.211534,3.3096657
1/1/2020,1.77205655,3.221137611,3.096098443,3.282371,3.237419128,3.295856953,3.038730621,2.9245965,2.3415024,2.8314178
1/4/2020,-7.581096133,1.77205655,1.610559194,2.1006038,1.57219696,1.525611877,1.770176411,-1.5194364,2.8135383,1.1437656
1/7/2020,1.164396004,-7.581096133,-9.948595657,-6.589519,-6.405069828,-2.613832474,-7.370538712,2.3972285,2.22326,1.7812533
1/10/2020,1.60282024,1.164396004,-0.007314597,1.4861989,1.487794876,1.663519263,1.82752955,1.3104792,1.968379,1.6706405
1/1/2021,4.072331854,1.60282024,1.930562275,2.1922975,1.738726854,1.727056861,1.773735523,3.8383174,3.485094,4.2992964
1/4/2021,16.45414838,4.072331854,3.790840033,4.0883164,3.89428997,4.034624577,3.999540091,5.8784256,12.515597,10.750967
1/7/2021,2.523002513,16.45414838,8.778174854,10.631279,4.139520645,4.537782192,3.270584106,3.5224075,2.8943985,3.6447697
1/10/2021,4.545026058,2.523002513,5.820619565,2.671042,2.047997475,2.168469429,2.264843941,4.5585165,5.316096,4.9291267
1/1/2022,3.102948674,4.545026058,2.577183885,4.442949,4.083714485,4.482420921,4.446174622,2.3956797,3.2377694,3.7459483
1/4/2022,2.430136095,3.102948674,-6.83505236,3.9780383,2.898403168,2.934632301,3.139935017,2.4044166,2.743095,2.6445954
1/7/2022,7.33668965,2.430136095,8.884532677,2.9761052,2.290075541,2.555243731,2.507031679,5.7854095,6.196532,4.6636415
1/10/2022,3.861458281,7.33668965,6.960140597,6.58201,3.77052021,3.113717556,2.943436384,3.7805252,3.9662766,3.5940542
1/1/2023,3.336369031,3.861458281,1.83483732,3.6869988,3.592396498,3.60457325,3.616751671,4.269867,3.3894641,3.3456717
1/4/2023,2.551868089,3.336369031,1.532297044,1.1638665,3.202812195,3.434196472,3.434194803,2.2067418,3.3756504,3.2916193
1/7/2023,1.323934753,2.551868089,2.28383394,5.5327086,2.395034552,2.553081512,2.346404552,1.9208747,2.9751792,2.2145004
1/10/2023,1.485347343,1.323934753,1.037333036,2.678121,1.343652844,1.17418313,1.113659143,1.9315605,2.0880733,1.9453102
1/1/2024,2.112760658,1.485347343,2.728092044,3.6854148,1.53129065,1.555405378,1.446889639,2.4526417,2.3675797,2.2758691
1/4/2024,0.50201249,2.112760658,1.54966613,5.0417438,2.405366182,2.176856041,2.09266901,0.9455633,1.6171405,0.9007764
1/7/2024,-0.770837949,0.50201249,2.299277662,1.1276717,0.705350459,0.549933672,0.645575821,-0.7494302,-0.85308766,0.010636091
