model,mean_CRPS,median_CRPS,p95_CRPS,p90_CRPS,p85_CRPS,p80_CRPS,tail_spread,upper_tail_steepness,mean_rank,sector
moirai_base,0.481479635,0.24280293,1.322117803,0.950069028,0.586522805,0.469278287,1.079314873,0.852839516,1,GDP
moirai_large,0.522484593,0.219214821,1.356621754,0.932010593,0.592293532,0.47458268,1.137406933,0.882039074,2,GDP
moirai_small,0.563191937,0.272281892,1.130213868,0.757435774,0.611876124,0.524916981,0.857931976,0.605296887,3,GDP
chronos_small,1.222841572,0.717935633,3.182385783,2.166224994,1.633920428,1.507109731,2.46445015,1.675276052,4,GDP
chronos_base,1.23291546,0.764521589,3.172114955,2.048445948,1.685812095,1.461139736,2.407593366,1.710975219,5,GDP
chronos_large,1.379942541,0.750368609,3.275559174,2.006730537,1.801129065,1.392295444,2.525190565,1.88326373,6,GDP
persistence,1.43503602,0.745536388,4.174257408,2.096299923,1.875771619,1.331388538,3.42872102,2.84286887,7,GDP
autoarima,1.488921057,0.739813538,8.387118871,2.470270936,1.852065311,1.459042448,7.647305333,6.928076423,8,GDP
timegpt,1.494989569,0.888525198,5.283574803,2.516739268,2.119856698,1.684004774,4.395049605,3.599570029,9,GDP
moirai_large,0.852242923,0.408240168,2.055073294,1.619362988,1.232095097,0.922404942,1.646833126,1.132668352,1,Goods
moirai_base,0.912500878,0.614872047,2.541002255,1.839465389,1.359673028,1.154691797,1.926130208,1.386310458,2,Goods
moirai_small,1.240887681,0.523779546,3.498505345,1.877096297,1.648932865,1.2718398,2.974725799,2.226665545,3,Goods
chronos_base,2.699576783,1.88679291,6.960054717,5.125441707,4.406719212,3.387915209,5.073261807,3.572139508,4,Goods
chronos_small,2.706231022,1.844032991,6.823084871,5.10635289,4.379607871,3.476609625,4.97905188,3.346475246,5,Goods
chronos_large,2.789361207,1.82652107,7.117483179,5.041561812,4.477116412,3.60911745,5.290962109,3.508365729,6,Goods
timegpt,2.930710697,1.818274364,8.91858493,5.811995542,4.828128923,4.09262143,7.100310566,4.8259635,7,Goods
autoarima,2.967656315,2.104703844,11.23503227,6.286071362,4.670349588,4.197023592,9.130328421,7.038008673,8,Goods
persistence,3.057992806,1.788869616,8.998789938,5.317136369,4.618222573,3.656630303,7.209920322,5.342159635,9,Goods
moirai_large,0.933574883,0.626594761,2.68508818,2.146433612,1.756410626,1.415820443,2.058493419,1.269267737,1,Primary_Industries
moirai_small,1.173841228,0.898134231,3.228637901,2.44732906,2.232637267,1.809444001,2.33050367,1.4191939,2,Primary_Industries
moirai_base,1.185183463,0.911946269,3.71774191,2.50767827,2.078365105,1.79221026,2.805795641,1.92553165,3,Primary_Industries
autoarima,2.392714316,1.650576366,7.012523135,5.635928531,4.709202907,4.118711736,5.361946769,2.893811399,4,Primary_Industries
chronos_small,2.69517376,2.068983357,7.23655547,6.177025134,5.447497121,4.978531796,5.167572113,2.258023674,5,Primary_Industries
chronos_base,2.764583922,2.104356224,7.224673271,6.011281741,5.540632517,4.642370864,5.120317047,2.582302407,6,Primary_Industries
chronos_large,2.778161311,2.102136069,6.714424039,6.065885297,5.220209176,4.348500895,4.61228797,2.365923144,7,Primary_Industries
persistence,3.020955685,2.220087445,8.452629445,6.895857052,6.016042329,5.05468341,6.232542,3.397946035,8,Primary_Industries
timegpt,3.316002562,2.604680803,8.21692899,7.550170484,5.884997569,5.405494005,5.612248187,2.811434985,9,Primary_Industries
moirai_base,0.421268074,0.187990453,1.058863996,0.771069942,0.56944585,0.482413422,0.870873543,0.576450574,1,Services_Industries
moirai_large,0.448821611,0.204891338,0.890565647,0.739751211,0.619767531,0.493351153,0.685674309,0.397214494,2,Services_Industries
moirai_small,0.521665586,0.28378426,1.15253995,0.900363028,0.718791183,0.647706307,0.86875569,0.504833643,3,Services_Industries
chronos_base,0.977051292,0.545301718,2.345274993,1.734539794,1.579009717,1.370714816,1.799973275,0.974560177,4,Services_Industries
chronos_small,1.009070202,0.577953368,2.333605,1.756267343,1.537611887,1.191220467,1.755651632,1.142384533,5,Services_Industries
chronos_large,1.017204482,0.542106892,2.298596331,1.649988121,1.41641377,1.266674071,1.756489439,1.03192226,6,Services_Industries
autoarima,1.154338247,0.534193014,3.098682316,1.685331306,1.421365629,1.275593507,2.564489302,1.823088809,7,Services_Industries
persistence,1.182018676,0.610165145,3.475231369,1.803314648,1.461538469,1.272850439,2.865066224,2.20238093,8,Services_Industries
timegpt,1.202998303,0.602075706,4.36058445,2.141972272,1.873984058,1.53148569,3.758508744,2.82909876,9,Services_Industries
