ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/7/1999,5.855144142,3.0778624,3.0778624,2.9641898,3.286047935,2.864256382,3.109484196,4.3742547,4.2042685,5.290154
1/10/1999,6.092452448,5.855144142,5.855144142,5.4637475,6.14887476,5.392864704,5.876711369,5.4920874,5.7582254,5.7844
1/1/2000,6.395607477,6.092452448,6.092452448,5.815563,5.676512241,5.407187939,5.583282948,5.9742403,6.2971077,6.589579
1/4/2000,5.585438195,6.395607477,6.395607477,7.2790914,6.36833477,6.016906261,5.761319637,5.1478286,5.072554,5.366666
1/7/2000,3.124045811,5.585438195,5.585438195,6.3210034,5.290270805,5.116463184,5.029559135,1.95814,3.5642428,4.0905914
1/10/2000,2.068060576,3.124045811,3.124045811,3.076831,2.185976982,2.403486967,2.740628004,1.4271792,1.9906363,1.6474634
1/1/2001,0.944904701,2.068060576,2.068060576,2.2131593,1.610224009,1.902009845,1.934429646,0.5242841,1.0810575,0.7515285
1/4/2001,2.338355749,0.944904701,0.944904701,0.97430664,0.831246018,0.671391666,0.895187974,2.943521,2.1356215,2.1629143
1/7/2001,2.698665753,2.338355749,2.338355749,2.6605203,2.388442993,2.059369564,1.921370029,3.1599388,2.780139,2.6429749
1/10/2001,4.027365408,2.698665753,2.698665753,3.6317647,2.491265059,2.671483517,2.226236343,4.2996473,4.4273796,5.01536
1/1/2002,4.565140282,4.027365408,4.027365408,5.244491,3.941349983,3.781131983,3.749089241,4.7770443,4.832888,5.114958
1/4/2002,4.475895867,4.565140282,4.565140282,5.3649325,4.544855118,4.307355404,4.13462925,4.4477863,4.7212243,4.1642056
1/7/2002,4.936639855,4.475895867,4.475895867,6.119948,4.392417908,4.348820686,4.141735077,5.321371,5.089544,5.0296364
1/10/2002,4.854206375,4.936639855,4.936639855,5.5065084,5.040781021,4.720905781,4.643695831,4.7451234,4.589025,4.9291773
1/1/2003,4.604752323,4.854206375,4.854206375,5.098899,4.649941444,4.661093235,4.248506546,4.152441,4.408635,4.679105
1/4/2003,3.737819734,4.604752323,4.604752323,4.466091,4.534329414,4.309301376,4.410563469,3.6020093,3.6187966,3.6321976
1/7/2003,4.725015697,3.737819734,3.737819734,3.1436055,3.591391563,3.263875961,3.376812696,4.7058196,4.994606,4.6735764
1/10/2003,4.633120324,4.725015697,4.725015697,4.0644975,4.353208542,4.489958763,4.649501801,4.248195,4.3582473,4.6475043
1/1/2004,5.771380374,4.633120324,4.633120324,4.0873756,4.526652336,4.296871185,4.216449738,5.5584426,5.8994374,5.920667
1/4/2004,6.190945161,5.771380374,5.771380374,6.180011,5.381117344,5.683950424,5.451003551,6.186742,6.3001018,6.4247537
1/7/2004,4.266261702,6.190945161,6.190945161,6.3861184,6.078365326,6.054714203,6.113841057,3.9734929,3.9561012,5.045203
1/10/2004,3.304100817,4.266261702,4.242718409,4.8340483,3.82733798,3.969971657,4.148262978,3.1279197,3.2281601,2.85712
1/1/2005,2.74386472,3.304100817,3.102715164,3.7049475,3.305326462,3.305326462,3.317216873,2.4821286,3.0042698,2.4083447
1/4/2005,3.489401108,2.74386472,2.812699853,2.7988658,2.894201756,2.846755743,3.024678707,3.8332994,4.3679867,3.8295
1/7/2005,3.70770711,3.489401108,3.598347379,3.7856517,3.800184011,3.764556408,4.120823383,3.79512,4.0873785,3.877829
1/10/2005,2.899058057,3.70770711,3.65230046,3.98498,3.83217907,3.725069284,4.105906487,2.424884,2.8599272,2.8484154
1/1/2006,3.345192377,2.899058057,2.759780599,3.360128,2.828019857,2.97060895,2.828019857,3.2942622,3.597323,3.5183196
1/4/2006,2.127816563,3.345192377,3.586859011,3.4852853,3.399952888,3.257297754,3.518832445,1.9599223,2.0996623,2.0357406
1/7/2006,2.222923791,2.127816563,1.625179165,2.6426136,1.715285182,1.987365365,2.235785007,2.3109686,2.5553262,2.1661873
1/10/2006,3.490734145,2.222923791,2.720205327,2.3490644,2.473318577,2.343763351,2.638204575,3.654308,3.4324584,3.9265528
1/1/2007,3.215981274,3.490734145,3.264740696,3.6661992,3.455011606,3.855933905,3.502178907,3.4847908,3.478972,3.0709321
