ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/7/1999,6.052515674,-3.100481113,2.218828848,0.44334984,-1.422702789,-2.56704545,-0.463925511,5.5683584,7.233099,9.572966
1/10/1999,3.219467035,6.052515674,10.23199017,6.094329,9.463293076,7.804141998,9.77053833,4.2653885,2.541021,2.4926972
1/1/2000,6.217703744,3.219467035,6.954531815,4.2579613,3.059782982,1.57533288,5.66514492,4.9155674,1.5463893,4.943158
1/4/2000,5.433506338,6.217703744,6.548837276,3.8291054,5.814735413,5.96537447,8.887809753,3.5977547,3.0146613,4.9050927
1/7/2000,3.145060193,5.433506338,2.742744715,1.8177128,4.426119804,3.648555756,3.917713165,2.389419,1.9950958,2.8244002
1/10/2000,4.290881477,3.145060193,4.734593851,-1.1788063,0.236125097,1.357701063,1.682365894,4.035851,4.466121,4.1435127
1/1/2001,0.359379032,4.290881477,0.224591674,0.6051636,3.127391815,3.15661788,1.812136292,-0.42560053,-0.3477497,-0.083625555
1/4/2001,2.447816075,0.359379032,2.699888078,1.1398153,-1.117677093,-0.659143686,-1.461577177,2.8012755,2.5441818,2.2261636
1/7/2001,-2.258762943,2.447816075,0.154637811,2.830514,1.130585313,2.063319921,-1.498027325,-1.0446177,-1.4787757,-0.8429425
1/10/2001,-4.745324578,-2.258762943,-0.036121671,-0.22598934,-0.94767797,-1.700241089,-1.282151222,-3.719886,-3.2750857,-4.484805
1/1/2002,-3.04647087,-4.745324578,-4.128705643,-1.8769565,-3.15452528,-2.241375208,-1.577264547,-0.1513133,-0.5387926,-2.9773777
1/4/2002,-1.283242141,-3.04647087,-1.645987486,-3.4250484,-1.532153487,-1.641596556,-1.668954611,-0.230546,-1.3869779,-1.0494971
1/7/2002,-3.026208428,-1.283242141,2.468857711,2.8031292,0.269406796,0.080819234,2.074407101,-3.062898,-1.7092924,-1.8864439
1/10/2002,1.100910752,-3.026208428,1.326894395,-1.7090502,0.106612258,-1.759048462,1.012783527,0.5211096,2.7107892,3.469574
1/1/2003,1.343172565,1.100910752,-0.70148412,2.2072744,0.918693304,2.598586559,1.443660021,0.99466705,-0.73519254,1.145233
1/4/2003,1.631140845,1.343172565,1.041935354,2.2441273,2.018188477,1.630077124,1.37133503,1.9601549,1.2514979,1.948079
1/7/2003,10.08377029,1.631140845,4.135967891,1.8668413,0.995718241,1.838249445,1.608466983,8.427949,6.2335434,9.07753
