ds,actual,persistence,autoarima,timegpt,chronos_small,chronos_base,chronos_large,moirai_small,moirai_base,moirai_large
1/7/1999,6.408054767,4.722723461,4.722723461,4.1832867,4.731752396,4.641529083,4.7117033,5.5270634,6.2999268,7.206373
1/10/1999,5.662489479,6.408054767,6.408054767,6.268489,5.996063232,5.985726357,6.388909817,5.7900686,5.6007357,5.482335
1/1/2000,5.336396975,5.662489479,5.662489479,5.36403,5.255692482,5.023046494,5.350866318,4.9137287,5.0647354,5.492996
1/4/2000,5.713884617,5.336396975,5.336396975,5.514081,5.074807644,5.182552814,5.171777725,5.465575,5.839406,6.1008053
1/7/2000,3.353160762,5.713884617,5.713884617,5.7769623,5.387863636,5.497821331,5.81669426,2.5891013,3.923916,4.122272
1/10/2000,2.729387183,3.353160762,3.353160762,3.3493168,3.251849651,3.18571043,3.494360209,2.010596,2.9777699,2.7659621
1/1/2001,3.238741945,2.729387183,2.729387183,2.9339027,2.35442853,2.673487186,2.530460358,3.9114385,3.3595726,3.6934357
1/4/2001,3.452198632,3.238741945,3.238741945,3.0970266,2.743921041,3.173692226,3.394088745,4.06526,3.6585894,3.4070203
1/7/2001,4.840282725,3.452198632,3.452198632,3.6795197,2.895745277,3.105742931,3.061532974,4.969176,4.954619,5.502083
1/10/2001,5.727800338,4.840282725,4.840282725,5.5667534,4.540562153,4.630031109,4.562929153,5.675225,5.847658,5.9379168
1/1/2002,5.934121595,5.727800338,5.727800338,6.1323967,5.242656708,5.219911575,5.515592575,5.7234387,5.7908382,6.277027
1/4/2002,5.851113027,5.934121595,5.934121595,6.197203,5.437059402,5.587445259,5.633718491,5.374657,5.8475823,5.9445786
1/7/2002,4.179067428,5.851113027,5.851113027,6.3210397,5.370287895,5.758077145,5.452545166,3.2787044,3.8580205,3.8412068
1/10/2002,3.00515876,4.179067428,4.179067428,4.7375317,3.592079639,3.887479782,3.592079639,2.7213745,3.325595,2.6513176
1/1/2003,2.621282493,3.00515876,3.011208742,3.3764336,2.549179554,2.596386671,2.738007545,3.2689888,2.9961839,2.7689152
1/4/2003,2.383849073,2.621282493,2.485323274,3.1994033,2.399711609,2.399711609,2.446763039,2.8604288,2.7683325,2.2493885
1/7/2003,4.187163721,2.383849073,2.433232414,2.304296,2.236827135,2.541316509,2.35393858,2.8455138,4.2546315,3.6636512
1/10/2003,5.38235419,4.187163721,4.748809917,3.8508685,4.355933666,4.014522076,4.179341316,5.6873975,4.417746,5.810214
1/1/2004,5.729321597,5.38235419,5.241850709,5.1239514,5.333625793,5.178854942,5.512206078,5.736578,6.091587,5.7503486
1/4/2004,5.554023695,5.729321597,5.980777063,5.616322,5.412487507,5.496868134,5.569197178,5.6713953,5.120105,5.8693566
1/7/2004,4.637159265,5.554023695,5.260490781,5.7169566,5.143540382,5.167919159,5.192296028,4.9668365,3.7326949,3.7592099
1/10/2004,4.505438177,4.637159265,4.605569046,4.7151136,4.022865295,4.427603722,4.170042038,4.824953,4.2809324,4.646527
1/1/2005,4.053439169,4.505438177,4.489807283,4.5633974,4.685874939,4.574892998,4.58722353,3.584765,3.9842048,3.862686
1/4/2005,4.732457343,4.053439169,3.910415405,4.3253736,3.834742069,3.871851683,4.267695427,5.0814495,4.9009943,4.683229
1/7/2005,4.606280153,4.732457343,5.106777164,4.6121297,5.339140892,5.214685917,5.264468193,4.644275,4.4182897,4.112929
1/10/2005,3.279665047,4.606280153,4.208028565,4.5317926,4.416669846,5.029748917,4.929653168,3.0010715,3.4486501,3.1245506
1/1/2006,3.137471347,3.279665047,3.195462168,3.7173882,2.988602161,2.938583851,3.538806438,2.9142957,3.3916674,3.1485448
1/4/2006,2.354108499,3.137471347,3.16706155,3.591761,3.060066223,3.309867382,3.43476963,2.5253615,2.4774828,2.4417286
1/7/2006,3.421549756,2.354108499,2.046726005,3.3976765,2.213416338,2.312895775,2.673506975,3.733414,3.990013,3.8429196
1/10/2006,4.493923706,3.421549756,4.060967575,3.891848,3.768238544,3.979658604,4.153766632,4.4916635,4.5145583,4.99529
1/1/2007,5.289523116,4.493923706,4.238821997,4.5175543,4.822104454,5.046969414,4.759641647,5.3887153,5.2443547,5.380399
1/4/2007,4.906071123,5.289523116,5.764028494,4.686787,5.43757534,5.336881638,5.286531925,4.6378326,4.789472,4.8524184
1/7/2007,3.767061791,4.906071123,4.189543053,4.2452893,4.620868683,4.60820961,4.55756855,3.4341562,3.4921017,3.1425464
1/10/2007,3.156896646,3.767061791,3.951398235,3.964258,3.384288311,3.371612549,3.460339785,2.9845562,3.220049,2.9632893
1/1/2008,1.534839984,3.156896646,2.794498372,3.4411387,3.165180445,3.203161716,3.139857292,2.5181437,2.0968447,2.0363367
1/4/2008,1.046590247,1.534839984,1.708579702,2.236718,1.659154534,1.282073975,1.583738446,1.3169127,1.0635874,1.7635221
1/7/2008,-0.136804853,1.046590247,1.023160489,1.1294421,1.61946249,1.457515597,1.5073452,0.22436261,-0.29437757,0.002644777
1/10/2008,-0.439271231,-0.136804853,-0.435176868,-0.38444513,-0.135367364,-0.184591562,0.036918953,0.11942911,-0.27758217,-0.16305065
1/1/2009,-1.325782831,-0.439271231,-0.033729757,-0.45636308,-0.158241391,-0.170412958,0.109551981,-0.70980215,-1.4347439,-1.155344
1/4/2009,-0.828804783,-1.325782831,-1.334435086,-1.4149282,-1.329028487,-1.413603783,-1.135716796,-0.033464193,-0.47228956,-0.5137062
1/7/2009,-0.44445184,-0.828804783,0.119624751,-0.3447609,-0.538731098,-0.371126115,-0.311266422,-0.04434967,-0.1489904,-0.14244628
1/10/2009,-0.001491198,-0.44445184,-0.615798646,-0.021835566,-0.272485793,0.154014051,-0.236943513,0.4180441,0.22623014,0.20340014
1/1/2010,1.820781169,-0.001491198,0.834459049,0.38165438,0.199006215,0.468249649,0.433130264,2.1027493,2.5644312,2.4405487
1/4/2010,2.11349487,1.820781169,1.895556257,1.7120728,2.236227989,2.422580004,2.317756176,2.1559525,1.8043835,1.9950577
1/7/2010,3.575033339,2.11349487,2.313275585,1.7467468,2.157910347,2.204318523,2.355139256,4.1605186,4.074205,3.3492794
1/10/2010,2.42445071,3.575033339,3.845816339,3.6197386,3.962062597,3.962062597,3.822635174,2.4742324,1.502118,2.8171177
1/1/2011,2.607949061,2.42445071,1.807724737,2.394067,2.32916975,2.062647343,2.282818317,2.6510544,2.6855965,2.6543715
1/4/2011,2.71047821,2.607949061,3.318025659,2.807888,2.532761574,2.625282526,2.521197319,2.5652256,2.742616,2.4196677
1/7/2011,2.09514447,2.71047821,2.114592362,2.6834612,2.736643076,2.840565681,2.990677357,1.5829904,1.8858886,1.9480501
1/10/2011,3.12869967,2.09514447,2.61912941,2.0428705,2.10532856,2.208868504,2.093823433,3.001197,3.3041844,2.9568124
1/1/2012,2.44079221,3.12869967,2.949432738,2.9287415,3.152133942,3.301688194,2.864529848,2.4206533,2.6794124,2.6223514
1/4/2012,2.0961705,2.44079221,2.447320184,2.5137002,2.605197906,2.398618698,2.421571732,2.1188798,2.5857475,2.562477
1/7/2012,1.689119911,2.0961705,2.121526738,2.2158635,1.955607176,2.195768356,2.195768356,1.3078542,1.9627464,2.1447573
1/10/2012,2.201225253,1.689119911,1.752925501,1.3742867,1.695783019,1.479541779,1.616114736,2.5617146,2.1694782,2.123336
1/1/2013,1.884746229,2.201225253,2.476214926,2.6903663,2.223932266,2.473555565,2.416823387,1.1120878,2.05154,1.9131794
1/4/2013,2.969598419,1.884746229,1.696023263,1.9062035,1.864639044,1.875940561,2.14716053,3.1352785,3.1378033,2.842879
1/7/2013,3.546033273,2.969598419,3.531404323,3.514997,2.846743107,3.185642242,2.880633593,4.5772758,3.4664922,3.5121415
1/10/2013,2.917007108,3.546033273,3.061212941,3.382854,3.34888339,3.462021351,3.428080559,2.2141252,2.6225796,2.74735
1/1/2014,3.474881725,2.917007108,3.148258252,3.162095,2.623360395,2.691204309,2.340670109,3.3729894,3.7866669,3.6789508
1/4/2014,3.171793574,3.474881725,3.328018828,3.5477662,3.034228802,3.181411982,2.943654776,2.878352,3.0341,3.2400496
1/7/2014,2.895767654,3.171793574,3.003562551,3.2081137,2.842508793,2.819859505,2.649987698,2.8156948,2.945638,3.034726
1/10/2014,3.87106562,2.895767654,3.452806756,3.2700992,2.818143845,2.444654226,2.614422798,3.984222,3.8318691,3.4796507
1/1/2015,3.851468111,3.87106562,4.105409116,3.793295,3.834766865,3.517095566,3.551131248,3.7236896,3.9160783,4.0209303
1/4/2015,3.231624097,3.851468111,3.405251723,3.689256,3.809577465,3.525281668,3.548023939,3.1303773,3.1842315,3.1458852
1/7/2015,3.894976483,3.231624097,3.364177302,3.0954657,2.969225883,3.105743408,3.208129883,4.0002074,4.2407517,4.0605087
1/10/2015,3.506862759,3.894976483,3.801963884,3.8794627,3.637704849,3.820159912,3.512266159,3.5006008,3.528984,3.4505882
1/1/2016,4.130636578,3.506862759,3.318235681,3.2789397,3.4821558,3.584908724,3.367987156,4.126606,4.61305,4.4479394
1/4/2016,4.277683754,4.130636578,4.291196786,4.293297,3.984973431,4.168190479,4.156740189,4.5690327,4.225543,4.514289
1/7/2016,4.233528149,4.277683754,3.88143323,4.616229,4.239634991,4.170698166,4.434956551,4.3752384,4.3749657,4.1603804
1/10/2016,4.014868343,4.233528149,4.327246704,4.1723037,4.114719868,4.195401192,4.218452454,4.1482897,4.097788,4.1994534
1/1/2017,3.723360942,4.014868343,3.610033026,4.2889686,3.847589016,3.951577187,4.067120075,4.1830554,3.662778,3.7941346
1/4/2017,4.000808611,3.723360942,3.847051174,3.804669,3.576012373,3.981060982,3.876906395,4.2216587,4.098265,3.9382277
1/7/2017,3.587482671,4.000808611,3.75840377,3.9828887,3.990394354,3.827994823,3.990396023,3.6250281,3.8286939,3.6876898
1/10/2017,4.071572057,3.587482671,3.537379043,4.076795,3.658242941,3.55372262,3.553720951,4.1364927,4.265407,3.9871707
1/1/2018,3.950219261,4.071572057,4.069026835,4.152345,3.876791954,3.748730659,3.911717415,4.1458983,3.9248266,4.1419034
1/4/2018,4.098465559,3.950219261,3.698411565,3.8778367,3.791539669,3.733207703,3.733207703,4.277655,4.195832,4.15722
1/7/2018,3.587513102,4.098465559,4.165789651,4.321435,3.870955467,4.011291981,3.917734385,3.7815285,3.6343818,3.8387156
1/10/2018,3.02131017,3.587513102,3.203468301,3.6658247,3.523796558,3.512090445,3.711107731,2.3287346,2.8669965,3.1822963
1/1/2019,2.913678441,3.02131017,3.185357558,3.4208655,3.030739307,3.171161175,3.124352932,3.1278033,2.8563797,2.7070088
1/4/2019,2.728632099,2.913678441,2.730020943,3.0604126,2.923314095,2.899929047,3.005167484,2.8957124,2.8044844,2.5056272
1/7/2019,3.422767781,2.728632099,2.899978035,2.7738886,2.861453056,2.826415539,2.849774361,3.387211,3.1564662,3.2960784
1/10/2019,3.221137611,3.422767781,3.423731376,3.3565836,3.482564211,3.447504044,3.400758266,3.4842908,3.211534,3.3096657
1/1/2020,1.77205655,3.221137611,3.096098443,3.282371,3.237419128,3.295856953,3.038730621,2.9245965,2.3415024,2.8314178
1/4/2020,-7.581096133,1.77205655,1.610559194,2.1006038,1.57219696,1.525611877,1.770176411,-1.5194364,2.8135383,1.1437656
1/7/2020,1.164396004,-7.581096133,-9.948595657,-6.589519,-6.405069828,-2.613832474,-7.370538712,2.3972285,2.22326,1.7812533
1/10/2020,1.60282024,1.164396004,-0.007314597,1.4861989,1.487794876,1.663519263,1.82752955,1.3104792,1.968379,1.6706405
1/1/2021,4.072331854,1.60282024,1.930562275,2.1922975,1.738726854,1.727056861,1.773735523,3.8383174,3.485094,4.2992964
1/4/2021,16.45414838,4.072331854,3.790840033,4.0883164,3.89428997,4.034624577,3.999540091,5.8784256,12.515597,10.750967
1/7/2021,2.523002513,16.45414838,8.778174854,10.631279,4.139520645,4.537782192,3.270584106,3.5224075,2.8943985,3.6447697
1/10/2021,4.545026058,2.523002513,5.820619565,2.671042,2.047997475,2.168469429,2.264843941,4.5585165,5.316096,4.9291267
1/1/2022,3.102948674,4.545026058,2.577183885,4.442949,4.083714485,4.482420921,4.446174622,2.3956797,3.2377694,3.7459483
1/4/2022,2.430136095,3.102948674,-6.83505236,3.9780383,2.898403168,2.934632301,3.139935017,2.4044166,2.743095,2.6445954
1/7/2022,7.33668965,2.430136095,8.884532677,2.9761052,2.290075541,2.555243731,2.507031679,5.7854095,6.196532,4.6636415
